Unit 8: What is errors and omissions insurance?,Insurance covering certain professional negligence claims.
Unit 8: What is broker supervision?,Broker responsibility to oversee affiliated licensees.
Unit 8: What is license law?,State law governing real estate licensing and practice.
Unit 8: What is brokerage exam trap?,"Never imply commissions are fixed, standard, or set by law."
Unit 9: What is agency?,Fiduciary relationship where an agent represents a principal.
Unit 9: What is principal?,The client who authorizes the agent to act.
Unit 9: What is agent?,Person authorized to act for the principal.
Unit 9: What is client?,Person represented by the agent.
Unit 9: What is customer?,Person treated honestly but not represented as a client.
Unit 9: What is fiduciary duty?,High duty of trust owed by agent to client.
Unit 9: What is loyalty?,Duty to put client interests first.
Unit 9: What is obedience?,Duty to follow lawful client instructions.
Unit 9: What is disclosure?,Duty to reveal important information to the client.
Unit 9: What is confidentiality?,Duty to protect client secrets.
Unit 9: What is accounting?,Duty to properly handle and report money or property.
Unit 9: What is reasonable care?,Duty to act competently and diligently.
Unit 9: What is single agency?,Agent represents one party.
Unit 9: What is dual agency?,One agent/brokerage represents both sides if legal and disclosed.
Unit 9: What is designated agency?,Broker designates different licensees to represent different clients.
Unit 9: What is subagency?,Agent of another broker’s principal.
Unit 9: What is agency disclosure?,Required disclosure of representation relationships.
Unit 9: What is material fact?,Important fact that could affect a party’s decision.
Unit 9: What is puffing?,"Exaggerated opinion, not a factual misrepresentation."
Unit 9: What is misrepresentation?,False statement or concealment of material fact.
Unit 10: What is listing agreement?,Employment contract between seller and broker.
Unit 10: What is buyer representation agreement?,Agreement defining broker representation of a buyer.
Unit 10: What is exclusive right to sell?,Listing where broker earns commission if property sells during term.
Unit 10: What is exclusive agency listing?,"Broker is exclusive, but seller may avoid commission by finding buyer personally."
Unit 10: What is open listing?,Nonexclusive listing where only procuring broker gets paid.
Unit 10: What is net listing?,"Broker keeps amount above seller’s required price, risky and often restricted."
Unit 10: What is listing price?,Seller’s asking price in a listing agreement.
Unit 10: What is listing term?,Time period the listing agreement is effective.
Unit 10: What is broker authority?,Actions the broker is allowed to take under the agreement.
Unit 10: What is commission clause?,Agreement section explaining compensation.
Unit 10: What is protection period?,Period after listing expiration protecting broker for certain prospects.
Unit 10: What is multiple listing service?,Database for sharing listings among brokers.
Unit 10: What is seller disclosure?,Seller-provided information about property condition or facts.
Unit 10: What is agency relationship in agreement?,Identifies who the broker represents.
Unit 10: What is termination of listing?,"Ending the listing by expiration, agreement, breach, death, destruction, or law."
Unit 10: What is ready willing and able buyer?,Buyer prepared and qualified to buy on seller’s terms.
Unit 10: What is listing contract exam trap?,Type of listing controls when commission is earned.
Unit 10: What is buyer agency compensation?,"How buyer broker is paid, defined by agreement and law."
Unit 10: What is exclusive buyer agency?,Buyer agrees to work exclusively with one broker.
Unit 10: What is representation agreement purpose?,"Defines duties, authority, term, property criteria, and compensation."
Unit 11: What is contract?,Promise or agreement the law may enforce.
Unit 11: What is offer?,Proposal to enter into a contract.
Unit 11: What is acceptance?,Agreement to the exact terms of an offer.
Unit 11: What is counteroffer?,Rejection of original offer plus new offer.
Unit 11: What is consideration?,Something of legal value exchanged.
Unit 11: What is competent parties?,Parties with legal capacity to contract.
Unit 11: What is legal purpose?,Contract objective must be lawful.
Unit 11: What is consent?,"Voluntary agreement, not caused by fraud, mistake, duress, or undue influence."
Unit 11: What is valid contract?,Contract with all required legal elements.
Unit 11: What is void contract?,Contract with no legal effect.
Unit 11: What is voidable contract?,Contract one party may cancel.
Unit 11: What is unenforceable contract?,Contract that may be valid but cannot be enforced in court.
Unit 11: What is executed contract?,Fully performed contract.
Unit 11: What is executory contract?,Not yet fully performed contract.
Unit 11: What is bilateral contract?,Both parties promise to do something.
Unit 11: What is unilateral contract?,One party promises in exchange for performance.
Unit 11: What is breach?,Failure to perform a contract obligation.
Unit 11: What is liquidated damages?,Pre-agreed damages for breach.
Unit 11: What is specific performance?,Court order requiring contract performance.
Unit 11: What is contingency?,Condition that must be satisfied or waived.
Unit 12: What is promissory note?,Borrower’s written promise to repay a loan.
Unit 12: What is mortgage?,Security instrument pledging property as collateral.
Unit 12: What is deed of trust?,"Security instrument involving borrower, lender, and trustee."
Unit 12: What is principal?,Loan amount borrowed or still unpaid.
Unit 12: What is interest?,Cost of borrowing money.
Unit 12: What is amortization?,Repayment over time through scheduled payments.
Unit 12: What is loan-to-value ratio?,Loan amount divided by property value or price.
Unit 12: What is discount point?,Prepaid interest equal to 1% of loan amount.
Unit 12: What is origination fee?,Fee charged for making or processing a loan.
Unit 12: What is fixed-rate loan?,Loan with interest rate that does not change.
Unit 12: What is adjustable-rate mortgage?,Loan with interest rate that can change.
Unit 12: What is balloon payment?,Large final loan payment.
Unit 12: What is default?,Failure to meet loan obligations.
Unit 12: What is acceleration clause?,Allows lender to demand full balance after default.
Unit 12: What is prepayment penalty?,"Fee for paying loan early, if allowed."
Unit 12: What is foreclosure?,Legal process to enforce a lien after default.
Unit 12: What is judicial foreclosure?,Foreclosure through court action.
Unit 12: What is nonjudicial foreclosure?,Foreclosure without court action under power of sale.
Unit 12: What is deficiency judgment?,Judgment for remaining debt after foreclosure sale.
Unit 12: What is equity?,Market value minus debt owed.
Unit 13: What is FHA?,"Federal Housing Administration, insures approved mortgage loans."
Unit 13: What is VA loan?,Loan guaranteed for eligible veterans and qualifying borrowers.
Unit 13: What is USDA loan?,Program supporting eligible rural housing financing.
Unit 13: What is conventional loan?,Loan not government-insured or government-guaranteed.
Unit 13: What is insured loan?,Loan protected by insurance against lender loss.
Unit 13: What is guaranteed loan?,Loan backed by a government guarantee against lender loss.
Unit 13: What is secondary mortgage market?,Market where loans are bought and sold after origination.
Unit 13: What is Fannie Mae?,Secondary market entity buying conventional loans.
Unit 13: What is Freddie Mac?,Secondary market entity buying conventional loans.
Unit 13: What is Ginnie Mae?,Government agency guaranteeing securities backed by government loans.
Unit 13: What is mortgage-backed security?,Investment backed by pools of mortgage loans.
Unit 13: What is ECOA?,"Equal Credit Opportunity Act, prohibits credit discrimination."
Unit 13: What is TILA?,"Truth in Lending Act, requires credit cost disclosures."
Unit 13: What is RESPA?,Law requiring settlement cost disclosures and regulating certain closing practices.
Unit 13: What is Loan Estimate?,Disclosure of loan terms and estimated closing costs.
Unit 13: What is Closing Disclosure?,Final disclosure of loan terms and closing costs.
Unit 13: What is PMI?,Private mortgage insurance for certain conventional loans.
Unit 13: What is MIP?,Mortgage insurance premium for FHA loans.
Unit 13: What is APR?,Annual percentage rate reflecting credit cost.
Unit 13: What is government financing exam trap?,"FHA insures, VA guarantees, conventional is not government-backed."
Unit 14: What is closing?,Final settlement where ownership transfers and funds are distributed.
Unit 14: What is settlement?,Another term for closing.
Unit 14: What is escrow?,Neutral holding of money or documents until conditions are met.
Unit 14: What is closing agent?,Person or company coordinating closing.
Unit 14: What is debit?,Charge to a party on settlement statement.
Unit 14: What is credit?,Amount in favor of a party on settlement statement.
Unit 14: What is proration?,Dividing expenses between buyer and seller by time.
Unit 14: What is prepaid item?,Expense paid in advance.
Unit 14: What is accrued item?,Expense owed but not yet paid.
Unit 14: What is property tax proration?,Division of taxes between buyer and seller.
Unit 14: What is rent proration?,Division of rental income at closing.
Unit 14: What is seller debit buyer credit?,Typical treatment of unpaid seller expenses.
Unit 14: What is buyer debit seller credit?,Typical treatment when buyer assumes seller-paid items.
Unit 14: What is Closing Disclosure?,Final loan and cost disclosure for many residential loans.
Unit 14: What is ALTA statement?,Settlement statement often used in real estate closings.
Unit 14: What is title transfer at closing?,Deed is delivered and accepted.
Unit 14: What is recording after closing?,Documents are placed in public records.
Unit 14: What is funding?,Loan proceeds or money are provided for closing.
Unit 14: What is closing cost?,Expense paid to complete transaction.
Unit 14: What is proration exam trap?,Ask who used or owned the item during the time period.
Unit 15: What is lien?,Claim against property as security for debt or obligation.
Unit 15: What is voluntary lien?,"Lien created by agreement, such as a mortgage."
Unit 15: What is involuntary lien?,"Lien created by law, such as tax or judgment lien."
Unit 15: What is specific lien?,Lien affecting one particular property.
Unit 15: What is general lien?,"Lien affecting all property of a debtor, where allowed."
Unit 15: What is property tax lien?,Government claim for unpaid real estate taxes.
Unit 15: What is assessment?,Value placed on property for tax purposes.
Unit 15: What is millage rate?,Tax rate used to calculate property taxes.
Unit 15: What is special assessment?,Tax for a specific public improvement benefiting property.
Unit 15: What is judgment lien?,Lien from a court judgment.
Unit 15: What is mechanic’s lien?,Lien for unpaid labor or materials improving property.
Unit 15: What is mortgage lien?,Voluntary specific lien securing a loan.
Unit 15: What is tax lien priority?,Property tax liens often have high priority.
Unit 15: What is lien priority?,Order in which liens are paid.
Unit 15: What is subordination?,Agreement to lower a lien’s priority.
Unit 15: What is lis pendens?,Recorded notice of pending litigation affecting property.
Unit 15: What is writ of attachment?,Court order to seize property before judgment in some cases.
Unit 15: What is estate tax lien?,Lien related to taxes on a deceased person’s estate.
Unit 15: What is income tax lien?,General lien for unpaid income taxes.
Unit 15: What is lien exam trap?,Classify liens as voluntary/involuntary and general/specific.
Unit 16: What is appraisal?,Opinion or estimate of property value.
Unit 16: What is market value?,Most probable price under normal market conditions.
Unit 16: What is price?,Amount actually paid or asked.
Unit 16: What is cost?,Amount to build or acquire.
Unit 16: What is value?,Present worth of future benefits.
Unit 16: What is CMA?,"Comparative market analysis, often prepared by agents."
Unit 16: What is sales comparison approach?,Valuation using comparable sold properties.
Unit 16: What is cost approach?,Land value plus improvement cost minus depreciation.
Unit 16: What is income approach?,Valuation based on income property produces.
Unit 16: What is highest and best use?,"Most profitable legal, possible, and feasible use."
Unit 16: What is substitution?,Buyer will not pay more than cost of comparable substitute.
Unit 16: What is supply and demand?,Value is affected by availability and desire.
Unit 16: What is contribution?,Value of a feature depends on what it adds to total value.
Unit 16: What is conformity?,Maximum value occurs when property fits surrounding uses.
Unit 16: What is progression?,Lower-value property may benefit from nearby higher-value properties.
Unit 16: What is regression?,Higher-value property may be hurt by nearby lower-value properties.
Unit 16: What is depreciation?,Loss in value from any cause.
Unit 16: What is physical deterioration?,Loss from wear and tear.
Unit 16: What is functional obsolescence?,Loss from outdated design or utility.
Unit 16: What is external obsolescence?,Loss from outside factors beyond the property.
Unit 17: What is lease?,"Contract giving possession and use, not ownership."
Unit 17: What is lessor?,Landlord or owner granting lease rights.
Unit 17: What is lessee?,Tenant receiving lease rights.
Unit 17: What is leasehold estate?,Tenant’s right to possess and use property.
Unit 17: What is estate for years?,Leasehold with a definite ending date.
Unit 17: What is periodic tenancy?,Tenancy that renews automatically until proper notice.
Unit 17: What is tenancy at will?,Possession with consent but no fixed term.
Unit 17: What is tenancy at sufferance?,Tenant remains without consent after lawful possession ended.
Unit 17: What is gross lease?,"Tenant pays fixed rent, landlord pays many expenses."
Unit 17: What is net lease?,Tenant pays rent plus some property expenses.
Unit 17: What is percentage lease?,Rent plus percentage of business sales.
Unit 17: What is ground lease?,"Lease of land, often long-term."
Unit 17: What is sale and leaseback?,Owner sells property and leases it back.
Unit 17: What is assignment?,Transfer of all remaining lease rights.
Unit 17: What is sublease?,Transfer of less than all lease rights.
Unit 17: What is security deposit?,Money held to protect landlord against damage or default.
Unit 17: What is eviction?,Legal process to remove tenant.
Unit 17: What is constructive eviction?,"Landlord action or failure makes property unusable, forcing tenant out."
Unit 17: What is quiet enjoyment?,Tenant’s right to possess without unlawful interference.
Unit 17: What is lease exam trap?,"Lease gives possession and use, not title ownership."
Unit 18: What is fair housing?,Law area prohibiting housing discrimination.
Unit 18: What is federal protected classes?,"Race, color, religion, sex, disability, familial status, national origin."
Unit 18: What is race discrimination?,Illegal different treatment based on race.
Unit 18: What is color discrimination?,Illegal different treatment based on skin color.
Unit 18: What is religion discrimination?,Illegal different treatment based on religion.
Unit 18: What is sex discrimination?,"Illegal different treatment based on sex, including related protections under law."
Unit 18: What is disability discrimination?,Illegal different treatment based on disability.
Unit 18: What is familial status?,"Protection for households with children under 18, with exceptions."
Unit 18: What is national origin?,"Protection based on birthplace, ancestry, language, or ethnicity."
Unit 18: What is steering?,Directing people toward or away from areas based on protected class.
Unit 18: What is blockbusting?,Inducing panic selling by suggesting protected-class changes.
Unit 18: What is redlining?,Discriminatory denial or limitation of loans/services in certain areas.
Unit 18: What is discriminatory advertising?,Ads showing preference or limitation based on protected class.
Unit 18: What is reasonable accommodation?,Rule or policy change needed for disability-related use/enjoyment.
Unit 18: What is reasonable modification?,Physical change needed for disability-related access/use.
Unit 18: What is assistance animal?,"Animal related to disability needs, not treated as ordinary pet in many cases."
Unit 18: What is HUD?,Federal agency handling many fair housing complaints.
Unit 18: What is exemptions?,"Limited exceptions under fair housing law, applied carefully."
Unit 18: What is property description rule?,"Describe the property, not the preferred person."
Unit 18: What is fair housing exam trap?,Avoid statements about who should live there or neighborhood demographics.
Unit 19: What is property management?,Operating property for an owner.
Unit 19: What is property manager?,Person or company managing real estate for owner.
Unit 19: What is management agreement?,"Contract defining manager authority, duties, and compensation."
Unit 19: What is owner objectives?,"Owner goals for income, preservation, appreciation, or occupancy."
Unit 19: What is operating budget?,Budget for regular income and expenses.
Unit 19: What is capital budget?,Budget for major improvements or replacements.
Unit 19: What is rent roll?,"List of units, tenants, rents, and lease details."
Unit 19: What is vacancy?,Unoccupied rental space.
Unit 19: What is market rent?,Rent a property should command in the current market.
Unit 19: What is lease enforcement?,Ensuring tenants comply with lease terms.
Unit 19: What is tenant relations?,Communication and service to tenants.
Unit 19: What is maintenance?,"Keeping property safe, functional, and competitive."
Unit 19: What is preventive maintenance?,Maintenance done before equipment fails.
Unit 19: What is corrective maintenance?,Repair after something breaks or fails.
Unit 19: What is capital improvement?,Major improvement adding value or extending useful life.
Unit 19: What is risk management?,Identifying and reducing possible loss or liability.
Unit 19: What is trust account?,Separate account for client or tenant funds.
Unit 19: What is property report?,"Owner report on operations, income, expenses, and occupancy."
Unit 19: What is fair housing in management?,Managers must follow fair housing in leasing and operations.
Unit 19: What is management exam trap?,Manager protects owner investment while obeying law and serving tenants properly.
Unit 20: What is land-use control?,Rules limiting how property may be used or developed.
Unit 20: What is police power?,Government power supporting zoning and building regulation.
Unit 20: What is zoning?,Government regulation of land use and development.
Unit 20: What is zoning ordinance?,Local law dividing land into use districts.
Unit 20: What is residential zoning?,Zoning for housing uses.
Unit 20: What is commercial zoning?,Zoning for business uses.
Unit 20: What is industrial zoning?,Zoning for manufacturing or industrial uses.
Unit 20: What is agricultural zoning?,Zoning for farming or rural uses.
Unit 20: What is master plan?,Long-term plan guiding community growth and land use.
Unit 20: What is building code?,Construction standards for safety and quality.
Unit 20: What is certificate of occupancy?,Document confirming a building may be occupied.
Unit 20: What is variance?,Permission for zoning exception due to hardship.
Unit 20: What is conditional use?,Use allowed if specified conditions are met.
Unit 20: What is special use permit?,Permit allowing a use under stated conditions.
Unit 20: What is legal nonconforming use?,Use legal before zoning changed and may continue under rules.
Unit 20: What is downzoning?,Rezoning to a less intensive use.
Unit 20: What is buffer zone?,Area separating different land uses.
Unit 20: What is subdivision regulation?,Rules controlling division of land into lots.
Unit 20: What is deed restriction?,Private rule limiting property use.
Unit 20: What is land-use exam trap?,"Zoning is public control, deed restrictions are private control."
Unit 21: What is environmental hazard?,"Condition that may threaten health, safety, value, or property use."
Unit 21: What is EPA?,Environmental Protection Agency.
Unit 21: What is CERCLA?,Federal law addressing hazardous waste cleanup liability.
Unit 21: What is Superfund?,Common name for CERCLA cleanup program.
Unit 21: What is lead-based paint?,"Hazard in many homes built before 1978, requiring disclosures."
Unit 21: What is asbestos?,Hazardous material once used in building products.
Unit 21: What is radon?,Naturally occurring gas that can enter buildings from the ground.
Unit 21: What is mold?,Fungal growth often related to moisture issues.
Unit 21: What is underground storage tank?,Below-ground tank that may leak contaminants.
Unit 21: What is brownfield?,Property complicated by actual or perceived contamination.
Unit 21: What is wetlands?,Protected areas with water-saturated soil/ecosystems.
Unit 21: What is floodplain?,"Area subject to flooding, affecting insurance and use."
Unit 21: What is Phase I environmental site assessment?,Environmental due diligence review often used for commercial property.
Unit 21: What is Phase II environmental assessment?,Testing/investigation after possible contamination is found.
Unit 21: What is material environmental fact?,Known environmental issue that may affect decision or value.
Unit 21: What is disclosure duty?,Requirement to disclose known environmental facts when applicable.
Unit 21: What is agent environmental limit?,Agents should not diagnose hazards beyond expertise.
Unit 21: What is expert referral?,Recommend qualified inspectors or environmental professionals.
Unit 21: What is cleanup liability?,Responsibility for environmental remediation costs.
Unit 21: What is environmental exam trap?,"Disclose known facts, do not diagnose, recommend experts."
