Unit 7: What is an abstract of title?,A summary of recorded documents affecting title.
Unit 7: What is marketable title?,"Title reasonably free from doubt, defects, or claims."
Unit 7: What is a cloud on title?,A possible defect or claim affecting ownership.
Unit 7: What is title insurance?,Insurance protecting against certain past title defects.
Unit 8: Who is a broker?,A licensed person responsible for brokerage activity and supervision.
Unit 8: Who is a sales associate?,A licensee who usually works under a broker.
Unit 8: What is commission?,Negotiable compensation paid according to agreement.
Unit 8: What is price-fixing?,Competitors agreeing to set prices or commission rates.
Unit 8: What is market allocation?,"Competitors dividing markets, clients, or territories."
Unit 8: What is a group boycott?,Competitors agreeing not to deal with another party.
Unit 8: What phrase should agents avoid?,“Standard commission.” Commissions are negotiable.
Unit 9: What is agency?,A fiduciary relationship where an agent represents a principal/client.
Unit 9: Who is the principal?,The client who authorizes the agent to act.
Unit 9: What is loyalty?,Duty to put the client’s interests first.
Unit 9: What is obedience?,Duty to follow lawful client instructions.
Unit 9: What is disclosure?,Duty to reveal important information to the client.
Unit 9: What is confidentiality?,Duty to protect client secrets.
Unit 9: What is accounting?,Duty to properly handle and report money or property.
Unit 9: What is reasonable care?,Duty to use competence and diligence in representation.
Unit 9: What is dual agency?,One brokerage/agent representing both sides if legal and properly disclosed.
Unit 9: What is a customer?,Someone treated honestly but not represented as a client.
Unit 10: What is a listing agreement?,An employment contract between seller and broker.
Unit 10: What is exclusive right to sell?,Broker earns commission if property sells during the listing period.
Unit 10: What is exclusive agency?,"Broker is exclusive, but seller may avoid commission by finding buyer personally."
Unit 10: What is an open listing?,Nonexclusive listing where only the procuring broker gets paid.
Unit 10: What is a net listing?,"Broker keeps amount above seller’s required price, risky and often restricted."
Unit 10: What is procuring cause?,"The broker’s actions directly producing the ready, willing, and able buyer."
Unit 10: What is a buyer representation agreement?,Agreement defining broker representation of a buyer.
Unit 11: What is a contract?,A promise or agreement the law may enforce.
Unit 11: What are offer and acceptance?,Mutual agreement between parties.
Unit 11: What is consideration?,Something of legal value exchanged.
Unit 11: What are competent parties?,Parties with legal capacity to contract.
Unit 11: What is legal purpose?,The contract objective must be lawful.
Unit 11: What is an executed contract?,A fully performed contract.
Unit 11: What is an executory contract?,A contract not yet fully performed.
Unit 11: What is a void contract?,A contract with no legal effect.
Unit 11: What is a voidable contract?,A contract one party may cancel due to a legal issue.
Unit 11: What is breach?,Failure to perform a contract obligation.
Unit 11: What is a contingency?,A condition that must be satisfied or waived.
Unit 12: What is a promissory note?,Borrower’s written promise to repay a loan.
Unit 12: What is a mortgage?,Security instrument pledging property as collateral for a loan.
Unit 12: What is a deed of trust?,"Security instrument involving borrower, lender, and trustee."
Unit 12: What is principal?,The loan amount borrowed or remaining unpaid.
Unit 12: What is interest?,The cost of borrowing money.
Unit 12: What is amortization?,Repayment of debt over time through scheduled payments.
Unit 12: What is LTV?,"Loan-to-value ratio, loan amount divided by value or price."
Unit 12: What is default?,Failure to meet loan obligations.
Unit 12: What is foreclosure?,Legal process to enforce a lien after default.
Unit 12: What is an acceleration clause?,Allows lender to demand full balance after default.
Unit 13: What does FHA do?,Insures approved mortgage loans.
Unit 13: What does VA do?,Guarantees eligible veteran loans.
Unit 13: What does USDA support?,Eligible rural housing financing.
Unit 13: What is a conventional loan?,A loan not government-insured or government-guaranteed.
Unit 13: What is the secondary mortgage market?,Market where loans are bought and sold after origination.
Unit 13: What is Fannie Mae?,Secondary market entity that buys conventional loans.
Unit 13: What is Freddie Mac?,Secondary market entity that buys conventional loans.
Unit 13: What is Ginnie Mae?,Government agency guaranteeing mortgage-backed securities for certain government loans.
Unit 13: What is TILA?,"Truth in Lending Act, requiring credit cost disclosures."
Unit 13: What is RESPA?,Law requiring settlement cost disclosures and regulating certain closing practices.
Unit 14: What is closing?,Final settlement where ownership transfers and funds are distributed.
Unit 14: What is escrow?,Neutral holding of money/documents until conditions are met.
Unit 14: What is a debit?,A charge to a party.
Unit 14: What is a credit?,An amount in favor of a party.
Unit 14: What is proration?,Dividing expenses between buyer and seller by time.
Unit 14: What is a prepaid item?,Expense paid in advance.
Unit 14: What is an accrued item?,Expense owed but not yet paid.
Unit 14: Unpaid seller taxes are usually what at closing?,Seller debit and buyer credit.
Unit 14: What is a Closing Disclosure?,Form showing final loan terms and closing costs for many residential loans.
Unit 15: What is a lien?,Claim against property as security for debt or obligation.
Unit 15: What is a voluntary lien?,"Lien created by agreement, such as a mortgage."
Unit 15: What is an involuntary lien?,"Lien created by law, such as tax or judgment lien."
Unit 15: What is a specific lien?,Lien affecting one particular property.
Unit 15: What is a general lien?,"Lien affecting all property of a debtor, where allowed."
Unit 15: What is a property tax lien?,Government claim for unpaid real estate taxes.
Unit 15: What is a special assessment?,Tax for a specific public improvement benefiting property.
Unit 15: What is a mechanic’s lien?,Lien for unpaid labor or materials improving property.
Unit 15: What is millage rate?,Tax rate used to calculate property taxes.
Unit 16: What is an appraisal?,Opinion or estimate of property value.
Unit 16: What is market value?,Most probable price under normal market conditions.
Unit 16: What is a CMA?,"Comparative market analysis, often prepared by agents for pricing guidance."
Unit 16: What is the sales comparison approach?,Valuation using comparable sold properties.
Unit 16: What is the cost approach?,Value based on land plus replacement/reproduction cost minus depreciation.
Unit 16: What is the income approach?,Value based on income the property produces.
Unit 16: What is highest and best use?,Most profitable legal use that is physically possible and financially feasible.
Unit 16: What is depreciation?,Loss in value from any cause.
Unit 16: What is capitalization rate?,Rate used to convert income into value.
Unit 16: What is NOI?,"Net operating income, income after operating expenses before debt service."
Unit 17: What is a lease?,"Contract giving possession and use of property, not ownership."
Unit 17: Who is the lessor?,Landlord or owner granting lease rights.
Unit 17: Who is the lessee?,Tenant receiving lease rights.
Unit 17: What is estate for years?,Leasehold with a definite ending date.
Unit 17: What is periodic tenancy?,Tenancy that renews automatically for periods until notice.
Unit 17: What is tenancy at will?,Possession with consent but no fixed term.
Unit 17: What is tenancy at sufferance?,Tenant remains without consent after lawful possession ended.
Unit 17: What is a gross lease?,"Tenant pays fixed rent, landlord pays many property expenses."
Unit 17: What is a net lease?,Tenant pays rent plus some property expenses.
Unit 17: What is a percentage lease?,Rent plus a percentage of business sales.
Unit 17: What is assignment?,Transfer of all remaining lease rights.
Unit 17: What is sublease?,Transfer of less than all lease rights.
Unit 18: What are the federal protected classes?,"Race, color, religion, sex, disability, familial status, and national origin."
Unit 18: What is steering?,Directing people toward or away from areas based on protected class.
Unit 18: What is blockbusting?,Inducing panic selling by suggesting protected-class changes.
Unit 18: What is redlining?,Discriminatory denial or limitation of loans/services in certain areas.
Unit 18: What is familial status?,"Protection for households with children under 18, with exceptions."
Unit 18: What is reasonable accommodation?,Rule or policy change needed for disability-related use/enjoyment.
Unit 18: What is reasonable modification?,Physical change needed for disability-related access/use.
Unit 18: What should ads describe?,"The property, not the preferred type of person."
Unit 18: What agency handles many fair housing complaints?,HUD.
Unit 19: What is property management?,Operating property for an owner.
Unit 19: What is a management agreement?,"Contract defining manager authority, duties, and compensation."
Unit 19: What is an operating budget?,Budget for regular income and expenses.
Unit 19: What is a capital budget?,Budget for major improvements or replacements.
Unit 19: What is a rent roll?,"List of units, tenants, rent amounts, and lease details."
Unit 19: What is vacancy?,Unoccupied rental space.
Unit 19: What is preventive maintenance?,Maintenance done before equipment fails.
Unit 19: What is corrective maintenance?,Repair after something breaks or fails.
Unit 19: What is risk management?,Identifying and reducing potential loss or liability.
Unit 19: What is a trust account?,Account holding client or tenant funds separately.
Unit 20: What is zoning?,Government regulation of land use and development.
Unit 20: What is a master plan?,Long-term plan guiding community growth and land use.
Unit 20: What is a building code?,Rules setting construction standards for safety and quality.
Unit 20: What is a certificate of occupancy?,Document confirming a building may be occupied.
Unit 20: What is a variance?,Permission for zoning exception due to hardship.
Unit 20: What is conditional use?,Use allowed if specific conditions are met.
Unit 20: What is legal nonconforming use?,Use that was legal before zoning changed and may continue under rules.
Unit 20: What is a subdivision?,Land divided into smaller lots.
Unit 20: What are deed restrictions?,Private rules limiting property use.
Unit 20: Public control vs private control?,"Zoning is public, deed restrictions/covenants are private."
Unit 21: What is an environmental hazard?,"Condition that may threaten health, safety, value, or use of property."
Unit 21: What is the EPA?,Environmental Protection Agency.
Unit 21: What is CERCLA/Superfund?,Federal law addressing hazardous waste cleanup liability.
Unit 21: What is lead-based paint concern?,Homes built before 1978 may require disclosure and procedures.
Unit 21: What is asbestos?,Hazardous material once used in building products.
Unit 21: What is radon?,Naturally occurring gas that can enter buildings from the ground.
Unit 21: What is mold?,Fungal growth that may indicate moisture and health concerns.
Unit 21: What is an underground storage tank?,Tank below ground that may leak contaminants.
Unit 21: What is a wetland?,Protected land area with water-saturated soil/ecosystem characteristics.
Unit 21: What is a Phase I environmental site assessment?,Environmental due diligence review often used for commercial property.
Unit 21: What should agents do with environmental concerns?,"Disclose known facts, avoid diagnosis, and recommend qualified experts."
High Yield: Strongest deed protection?,General warranty deed.
High Yield: Least deed warranty?,Quitclaim deed.
High Yield: Note vs mortgage?,"Note is promise to repay, mortgage secures loan with property."
High Yield: FHA vs VA?,"FHA insures loans, VA guarantees eligible veteran loans."
High Yield: Residential appraisal approach?,Sales comparison approach.
High Yield: Income property appraisal approach?,Income approach.
High Yield: New/special property appraisal approach?,Cost approach.
High Yield: Client vs customer?,"Client is represented, customer is treated honestly but not represented."
High Yield: Federal fair housing classes?,"Race, color, religion, sex, disability, familial status, national origin."
High Yield: Steering?,Directing people based on protected class.
High Yield: Redlining?,Discriminatory lending/service restriction by area.
High Yield: Proration?,Dividing expenses by time.
High Yield: Debit vs credit?,"Debit is charge, credit is amount in favor."
High Yield: Lien?,Claim against property for debt/obligation.
High Yield: Fixture test?,"Attachment, adaptation, intent, agreement, relationship, timing/removal."
High Yield: Four government powers?,"Police power, eminent domain, taxation, escheat."
High Yield: Valid contract elements?,"Offer/acceptance, consideration, capacity, legal purpose, consent."
High Yield: Void vs voidable?,"Void has no legal effect, voidable may be canceled by one party."
High Yield: Assignment vs sublease?,"Assignment transfers all remaining lease rights, sublease transfers less."
High Yield: Agent environmental rule?,"Do not diagnose, disclose known facts, recommend experts."
